name,what have been runned,output
    --max_videos 100","Saved 100 results → logs/signal_cache/blinks_summary_real.csv

  Blinks/min  mean=27.3  std=23.2
  IBI CV      mean=0.380  (higher = more irregular = more natural)
  EAR entropy mean=1.838"
extract_blinks.py,"!python /week1/p3_physio/w1_setup/extract_blinks.py \
    --video_dir /kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/Deepfakes \
    --label fake \
    --out_dir ./logs/signal_cache \
    --max_videos 100","Saved 100 results → logs/signal_cache/blinks_summary_fake.csv

  Blinks/min  mean=17.2  std=22.5
  IBI CV      mean=0.252  (higher = more irregular = more natural)
  EAR entropy mean=1.537"
signal_analysis.py,"!python /week1/p3_physio/w1_setup/signal_analysis.py \
    --rppg_real /kaggle/working/logs/signal_cache/rppg_summary_real.csv \
    --rppg_fake /kaggle/working/logs/signal_cache/rppg_summary_fake.csv \
    --blink_real /kaggle/working/logs/signal_cache/blinks_summary_real.csv \
    --blink_fake /kaggle/working/logs/signal_cache/blinks_summary_fake.csv \
    --out_dir /kaggle/working/figures","======================================================================
rPPG SIGNAL ANALYSIS
======================================================================
  mean_snr_db                          KS=0.106 p=0.5837  MW_p=0.6700  real_mean=17.02  fake_mean=17.05
  Saved: /kaggle/working/figures/dist_rppg_mean_snr_db.png
  mean_bpm                             KS=0.260 p=0.0017  MW_p=0.0023  real_mean=73.49  fake_mean=64.69
  Saved: /kaggle/working/figures/dist_rppg_mean_bpm.png
  snr_chrom                            KS=0.113 p=0.5093  MW_p=0.6251  real_mean=24.74  fake_mean=24.27
  Saved: /kaggle/working/figures/dist_rppg_snr_chrom.png
  snr_pos                              KS=0.167 p=0.1098  MW_p=0.0914  real_mean=9.30  fake_mean=9.83
  Saved: /kaggle/working/figures/dist_rppg_snr_pos.png
  bpm_agreement                        KS=0.168 p=0.1076  MW_p=0.3476  real_mean=18.29  fake_mean=16.09
  Saved: /kaggle/working/figures/dist_rppg_bpm_agreement.png

======================================================================
BLINK SIGNAL ANALYSIS
======================================================================
  blinks_per_min                       KS=0.280 p=0.0007  MW_p=0.0011  real_mean=27.28  fake_mean=17.15
  Saved: /kaggle/working/figures/dist_blink_blinks_per_min.png
  ibi_cv                               KS=0.280 p=0.0007  MW_p=0.0025  real_mean=0.38  fake_mean=0.25
  Saved: /kaggle/working/figures/dist_blink_ibi_cv.png
  ear_entropy                          KS=0.330 p=0.0000  MW_p=0.0000  real_mean=1.84  fake_mean=1.54
  Saved: /kaggle/working/figures/dist_blink_ear_entropy.png
  ear_mean                             KS=0.120 p=0.4695  MW_p=0.6725  real_mean=0.27  fake_mean=0.26
  Saved: /kaggle/working/figures/dist_blink_ear_mean.png
  mean_blink_dur                       KS=0.150 p=0.2112  MW_p=0.8552  real_mean=5.04  fake_mean=10.31
  Saved: /kaggle/working/figures/dist_blink_mean_blink_dur.png

======================================================================
SUMMARY — significant differences (p < 0.05)
======================================================================
  ear_entropy                               KS p=0.0000  Δmean=0.301
  blinks_per_min                            KS p=0.0007  Δmean=10.128
  ibi_cv                                    KS p=0.0007  Δmean=0.128
  mean_bpm                                  KS p=0.0017  Δmean=8.801
* Trackio project initialized: p3_physio_deepfake
* Trackio metrics will be synced to Hugging Face Dataset: GoodBoyXD/bioforensics-dataset
* Found existing space: https://huggingface.co/spaces/GoodBoyXD/bioforensics
* View dashboard by going to: https://GoodBoyXD-bioforensics.hf.space/
* NVIDIA GPU detected, enabling automatic GPU metrics logging
* Created new run: GoodBoyXD-1773332221

[Trackio] Metrics logged to project 'p3_physio_deepfake'

[Local] Metrics saved → /kaggle/working/figures/w1_analysis_metrics.csv
* Run finished. Uploading logs to Trackio Space (please wait...)
/usr/local/lib/python3.12/dist-packages/trackio/run.py:718: UserWarning: Could not flush all logs within 30s. Some data may be buffered locally.
  warnings.warn("
train_pretrain.py,"!python w2_model/train_pretrain.py \
    --ff_root /kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23 \
    --out_dir /kaggle/working/checkpoints \
    --cache_dir /kaggle/working/signal_cache \
    --epochs 10 \
    --batch_size 4 \
    --clip_len 32 \
    --temporal_model transformer \
    --fp16 \
    --run_name pretrain_v2","2026-03-20 15:57:09.657745: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:467] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1774022229.900419     148 cuda_dnn.cc:8579] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1774022229.974806     148 cuda_blas.cc:1407] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
W0000 00:00:1774022230.591193     148 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1774022230.591243     148 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1774022230.591249     148 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1774022230.591255     148 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
[FaceBackend] Downloading MediaPipe face_landmarker.task model (~3MB)...
[FaceBackend] MediaPipe Tasks API (FaceLandmarker)
[FaceBackend] MediaPipe Tasks API (FaceLandmarker)
Device: cuda
* Trackio project initialized: p3_physio_deepfake
* Trackio metrics will be synced to Hugging Face Dataset: GoodBoyXD/bioforensics-dataset
* Found existing space: https://huggingface.co/spaces/GoodBoyXD/bioforensics
* View dashboard by going to: https://GoodBoyXD-bioforensics.hf.space/
* NVIDIA GPU detected, enabling automatic GPU metrics logging
* Created new run: pretrain_v2
[Trackio] Initialized run 'pretrain_v2' in project 'p3_physio_deepfake'
          Dashboard: check trackio output above for URL
Found 1000 real videos for pretraining

── Pre-caching physiological features for 1000 videos ──
   (MediaPipe runs once here; subsequent epochs load from disk cache)
Caching features:   0%|                                | 0/1000 [00:00<?, ?it/s]WARNING: All log messages before absl::InitializeLog() is called are written to STDERR

Caching features: 100%|███████████████████▉| 998/1000 [1:44:19<00:08,  4.02s/it]W0000 00:00:1774028511.573252   18192 face_landmarker_graph.cc:174] Sets FaceBlendshapesGraph acceleration to xnnpack by default.
W0000 00:00:1774028511.581021   18194 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
W0000 00:00:1774028511.594672   18196 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
W0000 00:00:1774028512.354077   18201 face_landmarker_graph.cc:174] Sets FaceBlendshapesGraph acceleration to xnnpack by default.
W0000 00:00:1774028512.362936   18203 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
W0000 00:00:1774028512.376688   18203 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
   ✓ Cached 1000 videos

model.safetensors: 100%|███████████████████| 77.9M/77.9M [00:02<00:00, 38.3MB/s]
Model: 31.7M params (31.7M trainable)
Epoch   1 | train_pulse=0.055 train_blink=0.494 | val_pulse=nan bpm_var=18.0
Epoch   2 | train_pulse=0.019 train_blink=0.481 | val_pulse=nan bpm_var=29.3
Epoch   3 | train_pulse=0.015 train_blink=0.466 | val_pulse=nan bpm_var=36.2
Epoch   4 | train_pulse=0.012 train_blink=0.474 | val_pulse=nan bpm_var=29.5
Epoch   5 | train_pulse=0.009 train_blink=0.467 | val_pulse=nan bpm_var=11.9
Epoch   6 | train_pulse=0.007 train_blink=0.458 | val_pulse=nan bpm_var=12.1
Epoch   7 | train_pulse=0.006 train_blink=0.450 | val_pulse=nan bpm_var=29.6
Epoch   8 | train_pulse=0.006 train_blink=0.422 | val_pulse=nan bpm_var=35.6
Epoch   9 | train_pulse=0.005 train_blink=0.398 | val_pulse=nan bpm_var=29.3
Epoch  10 | train_pulse=0.005 train_blink=0.388 | val_pulse=nan bpm_var=35.9
[Logger] Summary saved → logs/pretrain_v2_summary.json
* Run finished. Uploading logs to Trackio Space (please wait...)
[Logger] Run 'pretrain_v2' finished.

Pretraining complete. Best val loss: inf
Checkpoint: /kaggle/working/checkpoints/pretrain_best.pt
* Run finished. Uploading logs to Trackio Space (please wait...)
"
train.py,"!python w3_train/train.py \
    --ff_root /kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23 \
    --pretrain_ckpt /kaggle/working/checkpoints/pretrain_best.pt \
    --out_dir /kaggle/working/checkpoints \
    --cache_dir /kaggle/input/datasets/goodboyxdd/feat-npys/signal_cache \
    --epochs 10 \
    --batch_size 2 \
    --clip_len 32 \
    --num_workers 2 \
    --lr_backbone 1e-5 \
    --lr_head 1e-4 \
    --lr_temporal 5e-5 \
    --w_class 1.0 \
    --w_pulse 0.4 \
    --w_blink 0.3 \
    --w_contrastive 0.1 \
    --fp16 \
    --skip_cache \
    --run_name w3_train_v3","2026-03-22 21:13:51.589578: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:467] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1774214031.821093      91 cuda_dnn.cc:8579] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1774214031.884011      91 cuda_blas.cc:1407] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
W0000 00:00:1774214032.406476      91 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1774214032.406528      91 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1774214032.406533      91 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1774214032.406537      91 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
[FaceBackend] Downloading MediaPipe face_landmarker.task model (~3MB)...
[FaceBackend] MediaPipe Tasks API (FaceLandmarker)
[FaceBackend] MediaPipe Tasks API (FaceLandmarker)
Device: cuda
* Trackio project initialized: p3_physio_deepfake
* Trackio metrics will be synced to Hugging Face Dataset: GoodBoyXD/bioforensics-dataset
* Found existing space: https://huggingface.co/spaces/GoodBoyXD/bioforensics
* View dashboard by going to: https://GoodBoyXD-bioforensics.hf.space/
* NVIDIA GPU detected, enabling automatic GPU metrics logging
* Created new run: w3_train_v3
[Trackio] Initialized run 'w3_train_v3' in project 'p3_physio_deepfake'
          Dashboard: check trackio output above for URL
  original: 1000 videos (/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/original)
  Deepfakes: 1000 videos (/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/Deepfakes)
  Face2Face: 1000 videos (/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/Face2Face)
  FaceSwap: 1000 videos (/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/FaceSwap)
  NeuralTextures: 1000 videos (/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/NeuralTextures)
  FaceShifter: 1000 videos (/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/FaceShifter)
  DeepFakeDetection: 1000 videos (/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/DeepFakeDetection)
FF++: 7000 videos (real=1000, fake=6000)

Dataset splits: train=5600 | val=700 | test=700
Skipping feature cache warmup (--skip_cache)
model.safetensors: 100%|███████████████████| 77.9M/77.9M [00:01<00:00, 42.7MB/s]
Training from scratch (no pretrain checkpoint)
Backbone frozen for first 2 epochs
Model: 31.7M total, 14.1M trainable
Learning rates: backbone=1e-05, head=0.0001, temporal=5e-05
Loss weights: cls=1.0, pulse=0.4, blink=0.3, contrastive=0.1
Epoch   1 | loss=0.991 | val_auc=0.4394 val_eer=0.5354 val_ece=0.1840
  ✓ New best AUC=0.4394 → /kaggle/working/checkpoints/best_model.pt
Epoch   2 | loss=0.962 | val_auc=0.5287 val_eer=0.4499 val_ece=0.1261
  ✓ New best AUC=0.5287 → /kaggle/working/checkpoints/best_model.pt
Epoch 3: Backbone unfrozen
Epoch   3 | loss=0.943 | val_auc=0.4609 val_eer=0.5294 val_ece=0.1546
Epoch   4 | loss=0.945 | val_auc=0.4809 val_eer=0.5110 val_ece=0.1139
Epoch 5/10:  66%|█████████████████▋         | 1840/2800 [35:54<16:47,  1.05s/it]Traceback (most recent call last):
  File ""/usr/local/lib/python3.12/dist-packages/gradio_client/client.py"", line 302, in stream_messages
    raise ValueError(f""Unexpected SSE line: '{line}'"")
ValueError: Unexpected SSE line: '<!DOCTYPE html>
<html class="""">
<head>
    <meta charset=""utf-8""/>
    <meta
            name=""viewport""
            content=""width=device-width, initial-scale=1.0, user-scalable=no""
    />
    <meta
            name=""description""
            content=""We’re on a journey to advance and democratize artificial intelligence through open source and open science.""
    />
    <meta property=""fb:app_id"" content=""1321688464574422""/>
    <meta name=""twitter:card"" content=""summary_large_image""/>
    <meta name=""twitter:site"" content=""@huggingface""/>
    <meta
            property=""og:title""
            content=""Hugging Face – The AI community building the future.""
    />
    <meta property=""og:type"" content=""website""/>'
Epoch   5 | loss=0.920 | val_auc=0.4992 val_eer=0.4806 val_ece=0.1236
Epoch 6/10:  36%|█████████▊                 | 1020/2800 [20:32<32:08,  1.08s/it]Traceback (most recent call last):
  File ""/usr/local/lib/python3.12/dist-packages/gradio_client/client.py"", line 302, in stream_messages
    raise ValueError(f""Unexpected SSE line: '{line}'"")
ValueError: Unexpected SSE line: '<!DOCTYPE html>
<html class="""">
<head>
    <meta charset=""utf-8""/>
    <meta
            name=""viewport""
            content=""width=device-width, initial-scale=1.0, user-scalable=no""
    />
    <meta
            name=""description""
            content=""We’re on a journey to advance and democratize artificial intelligence through open source and open science.""
    />
    <meta property=""fb:app_id"" content=""1321688464574422""/>
    <meta name=""twitter:card"" content=""summary_large_image""/>
    <meta name=""twitter:site"" content=""@huggingface""/>
    <meta
            property=""og:title""
            content=""Hugging Face – The AI community building the future.""
    />
    <meta property=""og:type"" content=""website""/>'
Epoch 6/10:  36%|█████████▊                 | 1022/2800 [20:35<34:14,  1.16s/it]Traceback (most recent call last):
  File ""/usr/local/lib/python3.12/dist-packages/gradio_client/client.py"", line 302, in stream_messages
    raise ValueError(f""Unexpected SSE line: '{line}'"")
ValueError: Unexpected SSE line: '<!DOCTYPE html>
<html class="""">
<head>
    <meta charset=""utf-8""/>
    <meta
            name=""viewport""
            content=""width=device-width, initial-scale=1.0, user-scalable=no""
    />
    <meta
            name=""description""
            content=""We’re on a journey to advance and democratize artificial intelligence through open source and open science.""
    />
    <meta property=""fb:app_id"" content=""1321688464574422""/>
    <meta name=""twitter:card"" content=""summary_large_image""/>
    <meta name=""twitter:site"" content=""@huggingface""/>
    <meta
            property=""og:title""
            content=""Hugging Face – The AI community building the future.""
    />
    <meta property=""og:type"" content=""website""/>'
Epoch 6/10:  42%|███████████▍               | 1181/2800 [23:37<27:39,  1.03s/it]Traceback (most recent call last):
  File ""/usr/local/lib/python3.12/dist-packages/gradio_client/client.py"", line 302, in stream_messages
    raise ValueError(f""Unexpected SSE line: '{line}'"")
ValueError: Unexpected SSE line: '<!DOCTYPE html>
<html class="""">
<head>
    <meta charset=""utf-8""/>
    <meta
            name=""viewport""
            content=""width=device-width, initial-scale=1.0, user-scalable=no""
    />
    <meta
            name=""description""
            content=""We’re on a journey to advance and democratize artificial intelligence through open source and open science.""
    />
    <meta property=""fb:app_id"" content=""1321688464574422""/>
    <meta name=""twitter:card"" content=""summary_large_image""/>
    <meta name=""twitter:site"" content=""@huggingface""/>
    <meta
            property=""og:title""
            content=""Hugging Face – The AI community building the future.""
    />
    <meta property=""og:type"" content=""website""/>'
Epoch 6/10:  61%|████████████████▍          | 1701/2800 [34:13<19:37,  1.07s/it]Traceback (most recent call last):
  File ""/usr/local/lib/python3.12/dist-packages/gradio_client/client.py"", line 302, in stream_messages
    raise ValueError(f""Unexpected SSE line: '{line}'"")
ValueError: Unexpected SSE line: '<!DOCTYPE html>
<html class="""">
<head>
    <meta charset=""utf-8""/>
    <meta
            name=""viewport""
            content=""width=device-width, initial-scale=1.0, user-scalable=no""
    />
    <meta
            name=""description""
            content=""We’re on a journey to advance and democratize artificial intelligence through open source and open science.""
    />
    <meta property=""fb:app_id"" content=""1321688464574422""/>
    <meta name=""twitter:card"" content=""summary_large_image""/>
    <meta name=""twitter:site"" content=""@huggingface""/>
    <meta
            property=""og:title""
            content=""Hugging Face – The AI community building the future.""
    />
    <meta property=""og:type"" content=""website""/>'
Epoch 6/10:  61%|████████████████▌          | 1720/2800 [34:36<19:39,  1.09s/it]Traceback (most recent call last):
  File ""/usr/local/lib/python3.12/dist-packages/gradio_client/client.py"", line 302, in stream_messages
    raise ValueError(f""Unexpected SSE line: '{line}'"")
ValueError: Unexpected SSE line: '<!DOCTYPE html>
<html class="""">
<head>
    <meta charset=""utf-8""/>
    <meta
            name=""viewport""
            content=""width=device-width, initial-scale=1.0, user-scalable=no""
    />
    <meta
            name=""description""
            content=""We’re on a journey to advance and democratize artificial intelligence through open source and open science.""
    />
    <meta property=""fb:app_id"" content=""1321688464574422""/>
    <meta name=""twitter:card"" content=""summary_large_image""/>
    <meta name=""twitter:site"" content=""@huggingface""/>
    <meta
            property=""og:title""
            content=""Hugging Face – The AI community building the future.""
    />
    <meta property=""og:type"" content=""website""/>'
Epoch 6/10:  64%|█████████████████▏         | 1780/2800 [35:46<18:06,  1.07s/it]Traceback (most recent call last):
  File ""/usr/local/lib/python3.12/dist-packages/gradio_client/client.py"", line 302, in stream_messages
    raise ValueError(f""Unexpected SSE line: '{line}'"")
ValueError: Unexpected SSE line: '<!DOCTYPE html>
<html class="""">
<head>
    <meta charset=""utf-8""/>
    <meta
            name=""viewport""
            content=""width=device-width, initial-scale=1.0, user-scalable=no""
    />
    <meta
            name=""description""
            content=""We’re on a journey to advance and democratize artificial intelligence through open source and open science.""
    />
    <meta property=""fb:app_id"" content=""1321688464574422""/>
    <meta name=""twitter:card"" content=""summary_large_image""/>
    <meta name=""twitter:site"" content=""@huggingface""/>
    <meta
            property=""og:title""
            content=""Hugging Face – The AI community building the future.""
    />
    <meta property=""og:type"" content=""website""/>'
Epoch   6 | loss=0.954 | val_auc=0.5029 val_eer=0.4822 val_ece=0.1126
Epoch 7/10:   1%|▍                            | 40/2800 [00:58<57:01,  1.24s/it]Traceback (most recent call last):
  File ""/usr/local/lib/python3.12/dist-packages/gradio_client/client.py"", line 302, in stream_messages
    raise ValueError(f""Unexpected SSE line: '{line}'"")
ValueError: Unexpected SSE line: '<!DOCTYPE html>
<html class="""">
<head>
    <meta charset=""utf-8""/>
    <meta
            name=""viewport""
            content=""width=device-width, initial-scale=1.0, user-scalable=no""
    />
    <meta
            name=""description""
            content=""We’re on a journey to advance and democratize artificial intelligence through open source and open science.""
    />
    <meta property=""fb:app_id"" content=""1321688464574422""/>
    <meta name=""twitter:card"" content=""summary_large_image""/>
    <meta name=""twitter:site"" content=""@huggingface""/>
    <meta
            property=""og:title""
            content=""Hugging Face – The AI community building the future.""
    />
    <meta property=""og:type"" content=""website""/>'
Epoch 7/10:  61%|████████████████▍          | 1701/2800 [34:29<25:18,  1.38s/it]Traceback (most recent call last):
  File ""/usr/local/lib/python3.12/dist-packages/gradio_client/client.py"", line 302, in stream_messages
    raise ValueError(f""Unexpected SSE line: '{line}'"")
ValueError: Unexpected SSE line: '<!DOCTYPE html>
<html class="""">
<head>
    <meta charset=""utf-8""/>
    <meta
            name=""viewport""
            content=""width=device-width, initial-scale=1.0, user-scalable=no""
    />
    <meta
            name=""description""
            content=""We’re on a journey to advance and democratize artificial intelligence through open source and open science.""
    />
    <meta property=""fb:app_id"" content=""1321688464574422""/>
    <meta name=""twitter:card"" content=""summary_large_image""/>
    <meta name=""twitter:site"" content=""@huggingface""/>
    <meta
            property=""og:title""
            content=""Hugging Face – The AI community building the future.""
    />
    <meta property=""og:type"" content=""website""/>'
Epoch 7/10:  69%|██████████████████▌        | 1920/2800 [38:57<18:05,  1.23s/it]Traceback (most recent call last):
  File ""/usr/local/lib/python3.12/dist-packages/gradio_client/client.py"", line 302, in stream_messages
    raise ValueError(f""Unexpected SSE line: '{line}'"")
ValueError: Unexpected SSE line: '<!DOCTYPE html>
<html class="""">
<head>
    <meta charset=""utf-8""/>
    <meta
            name=""viewport""
            content=""width=device-width, initial-scale=1.0, user-scalable=no""
    />
    <meta
            name=""description""
            content=""We’re on a journey to advance and democratize artificial intelligence through open source and open science.""
    />
    <meta property=""fb:app_id"" content=""1321688464574422""/>
    <meta name=""twitter:card"" content=""summary_large_image""/>
    <meta name=""twitter:site"" content=""@huggingface""/>
    <meta
            property=""og:title""
            content=""Hugging Face – The AI community building the future.""
    />
    <meta property=""og:type"" content=""website""/>'
Epoch 7/10:  74%|███████████████████▊       | 2060/2800 [41:48<13:47,  1.12s/it]Traceback (most recent call last):
  File ""/usr/local/lib/python3.12/dist-packages/gradio_client/client.py"", line 302, in stream_messages
    raise ValueError(f""Unexpected SSE line: '{line}'"")
ValueError: Unexpected SSE line: '<!DOCTYPE html>
<html class="""">
<head>
    <meta charset=""utf-8""/>
    <meta
            name=""viewport""
            content=""width=device-width, initial-scale=1.0, user-scalable=no""
    />
    <meta
            name=""description""
            content=""We’re on a journey to advance and democratize artificial intelligence through open source and open science.""
    />
    <meta property=""fb:app_id"" content=""1321688464574422""/>
    <meta name=""twitter:card"" content=""summary_large_image""/>
    <meta name=""twitter:site"" content=""@huggingface""/>
    <meta
            property=""og:title""
            content=""Hugging Face – The AI community building the future.""
    />
    <meta property=""og:type"" content=""website""/>'
Epoch   7 | loss=0.975 | val_auc=0.4945 val_eer=0.5115 val_ece=0.0905
Epoch 8/10:   9%|██▍                         | 240/2800 [04:59<47:35,  1.12s/it]Traceback (most recent call last):
  File ""/usr/local/lib/python3.12/dist-packages/gradio_client/client.py"", line 302, in stream_messages
    raise ValueError(f""Unexpected SSE line: '{line}'"")
ValueError: Unexpected SSE line: '<!DOCTYPE html>
<html class="""">
<head>
    <meta charset=""utf-8""/>
    <meta
            name=""viewport""
            content=""width=device-width, initial-scale=1.0, user-scalable=no""
    />
    <meta
            name=""description""
            content=""We’re on a journey to advance and democratize artificial intelligence through open source and open science.""
    />
    <meta property=""fb:app_id"" content=""1321688464574422""/>
    <meta name=""twitter:card"" content=""summary_large_image""/>
    <meta name=""twitter:site"" content=""@huggingface""/>
    <meta
            property=""og:title""
            content=""Hugging Face – The AI community building the future.""
    />
    <meta property=""og:type"" content=""website""/>'
Epoch 8/10:  10%|██▊                         | 280/2800 [05:45<49:59,  1.19s/it]Traceback (most recent call last):
  File ""/usr/local/lib/python3.12/dist-packages/gradio_client/client.py"", line 302, in stream_messages
    raise ValueError(f""Unexpected SSE line: '{line}'"")
ValueError: Unexpected SSE line: '<!DOCTYPE html>
<html class="""">
<head>
    <meta charset=""utf-8""/>
    <meta
            name=""viewport""
            content=""width=device-width, initial-scale=1.0, user-scalable=no""
    />
    <meta
            name=""description""
            content=""We’re on a journey to advance and democratize artificial intelligence through open source and open science.""
    />
    <meta property=""fb:app_id"" content=""1321688464574422""/>
    <meta name=""twitter:card"" content=""summary_large_image""/>
    <meta name=""twitter:site"" content=""@huggingface""/>
    <meta
            property=""og:title""
            content=""Hugging Face – The AI community building the future.""
    />
    <meta property=""og:type"" content=""website""/>'
